SkillIndex;Name;ID;Description;Level;AttackType;TargetType;AnimationType;CanHitDeadUnits;SoundFile;SpriteAnimation;SpriteIcon;SkillFomular;DamageType;Turns;Hits;HPFlat;HPPercent;MPFlat;MPPercent;Energy;ShieldPercent;ShieldFlat;AttFlat;AttPercent;DefFlat;DefPercent;MAttFlat;MAttPercent;MDefFlat;MDefPercent;STRFlat;STRPercent;DEXFlat;DEXPercent;INTFlat;INTPercent;LUKFlat;LUKPercent;SpeedFlat;SpeedPercent;ExpFlat;ExpPercent;DropFlat;DropPercent;Completion;Quality;Steps
S_32;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_33;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_34;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_35;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_36;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_37;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_38;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_39;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_40;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_41;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_42;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
